0=Unknown, 1=Fire Extinguisher, 2=Pistol, 3=Fist, 4=Crowbar, 5=Knife, 6=Rifle, 7=Throw Small, 8=Throw Big 40=Stun, 41=Flames, 42= Armour Piercing, 43=Blunt, 44=Sharp, 45=Piercing, 46=Acid; 47=Psy
  none;//fire sound
  none;//hit sound
  0.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
  end_fire_effects;
  begin_hit_effects;
  end_hit_effects;
Flame thrower;//name---------------------------------------UNUSED
  20;//identifier
 2;//class
  bullet0.png;//bullet texture
  6;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  0.030000;//spread
  0.300000;//bullet speed
  1000.000000;//time until bullet disappears
  50;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  5;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  fire.wav;//hit effect sound
  0.000000;//push target back
  0.000000;//push shooter back
  none;//fire sound
  none;//hit sound
  1.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
          27;//effect number------------------------------Make Light
     7.00000;//parameter1
      150.00000;//parameter2
      0.100000;//parameter3
      0.100000;//parameter4
		 26;//effect number-----------------------Fire Particles
      22.000000;//parameter1
      3.000000;//parameter2
      20.000000;//parameter3
      0.000000;//parameter4
  end_fire_effects;
  begin_hit_effects;
        53;//effect number------------------------------Damage NPCs[3.5]
      -3.50000;//parameter1
      20.00000;//parameter2
      0.000000;//parameter3
      5000.000000;//parameter4
  end_hit_effects;
Acid Spit (Spitter Large);//name---------------------------------------
  21;//identifier
 46;//class
  qabullet.png;//bullet texture
  12;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.500000;//bullet size
  0.100000;//spread
  1.200000;//bullet speed
  150.000000;//time until bullet disappears
  3500;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  -1;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  fire.wav;//hit effect sound
  0.100000;//push target back
  0.500000;//push shooter back
  shriek2.wav;//fire sound
  acid.wav;//hit sound
  1.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
		 46;//effect number-----------------------Flee
      0.000000;//parameter1
      3.000000;//parameter2
      3500.000000;//parameter3
      -1.000000;//parameter4
  end_fire_effects;
  begin_hit_effects;
        53;//effect number------------------------------Damage NPCs[3.5]
      -1.50000;//parameter1
      -1.00000;//parameter2
      0.000000;//parameter3
      5000.000000;//parameter4
      53;//effect number------------------------------Damage Burn[1.5]
      -0.250000;//parameter1
      -1.00000;//parameter2
      7.000000;//parameter3
      5000.000000;//parameter4
  end_hit_effects;
Noise;//name---------------------------------------
  22;//identifier
 0;//class
  qabullet.png;//bullet texture
  1;//bullets at one shot
  1;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  0.000000;//spread
  1.000000;//bullet speed
  200.000000;//time until bullet disappears
  100;//fire rate
  2;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  6;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.000000;//push target back
  0.000000;//push shooter back
  none;//fire sound
  none;//hit sound
  2.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
  end_fire_effects;
  begin_hit_effects;
  end_hit_effects;
Makeshift stun prod;//name---------------------------------------
  23;//identifier
  40;//class
  qbeaconbullet.png;//bullet texture
  1;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  0.200000;//spread
  1.000000;//bullet speed
  50.000000;//time until bullet disappears
  900;//fire rate
  1;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  3;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  25;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  3.100000;//push target back
  0.000000;//push shooter back
electric.wav;//fire sound
  electric2.wav;//hit sound
  0.500000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
     3;//condition
      3.000000;//condition parameter0
      10.000000;//condition parameter1
  end_wield_conditions;
  begin_fire_effects;
    63;//effect number-----------------------Tire Player
      -10.000000;//parameter1
      -5.00000;//parameter2
      3.000000;//parameter3
      1.000000;//parameter4
	 1;//effect number-----------------------Slow Down Player
      1000.000000;//parameter1
      -1.000000;//parameter2
      0.750000;//parameter3
      0.000000;//parameter4
  63;//effect number-----------------------Reduce Energy [6-15]
      -6.000000;//parameter1
      -15.00000;//parameter2
      30.000000;//parameter3
      1.000000;//parameter4
29;//effect number-----------------------Run Script "Check Makeshift Stun Prod Energy" [37]
      37.000000;//parameter1
      1.00000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter4
  end_fire_effects;
  begin_hit_effects;
  63;//effect number-----------------------Add Stun Effect [50-75]
      75.000000;//parameter1
      125.00000;//parameter2
      31.000000;//parameter3
      1.000000;//parameter4
  63;//effect number-----------------------Damage NPCs [12-17]
      -12.000000;//parameter1
      -17.00000;//parameter2
      0.000000;//parameter3
      1.000000;//parameter4
  end_hit_effects;
Green Light Stick;//name---------------------------------------
	24;//identifier
	7;//class
	qbeaconbullet.png;//bullet texture
	1;//bullets at one shot
	0;//stop at hit 0=stop where hit, 1=don't stop
	0.000000;//bullet size
	0.000000;//spread
	1.000000;//bullet speed
	1.000000;//time until bullet disappears
	1000;//fire rate
	0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
	-1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
	-1;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
	none;//hit effect sound
	0.000000;//push target back
	0.000000;//push shooter back
	none;//fire sound
	none;//hit sound
	0.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
	begin_wield_conditions;
		0;//condition-----------------------Must Have Green LightStick
			75.000000;//condition parameter0
			1.000000;//condition parameter1
		3;//condition-----------------------Must Be Ready To Throw
			28.000000;//condition parameter0
			1.000000;//condition parameter1
		37;//condition-----------------------If Right Mouse Button Must Be Pressed
			1.000000;//condition parameter0
			0.000000;//condition parameter1
	end_wield_conditions;
	begin_fire_effects;
		1;//effect number-----------------------Slow Down Player
			200.000000;//parameter1
			-1.000000;//parameter2
			0.650000;//parameter3
			0.000000;//parameter4
		16;//effect number-----------------------Remove Green Light Stick
			75.000000;//parameter1
			-1.000000;//parameter2
			0.000000;//parameter3
			0.000000;//parameter4
		10;//effect number-----------------------Fire Creature [Green Light Stick]
			16.000000;//parameter1
			2.00000;//parameter2
			-1.000000;//parameter3
			-1.000000;//parameter4
		63;//effect number-----------------------Tire Player
			-10.000000;//parameter1
			-5.00000;//parameter2
			3.000000;//parameter3
			1.000000;//parameter4
	end_fire_effects;
	begin_hit_effects;
	end_hit_effects; 
Red Light Stick;//name---------------------------------------
	25;//identifier
	7;//class
	qbeaconbullet.png;//bullet texture
	1;//bullets at one shot
	0;//stop at hit 0=stop where hit, 1=don't stop
	0.000000;//bullet size
	0.000000;//spread
	1.000000;//bullet speed
	1.000000;//time until bullet disappears
	1000;//fire rate
	0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
	-1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
	-1;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
	none;//hit effect sound
	0.000000;//push target back
	0.000000;//push shooter back
	none;//fire sound
	none;//hit sound
	0.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
	begin_wield_conditions;
		0;//condition-----------------------Must Have Red LightStick
			85.000000;//condition parameter0
			1.000000;//condition parameter1
		3;//condition-----------------------Must Be Ready To Throw
			28.000000;//condition parameter0
			1.000000;//condition parameter1
		37;//condition-----------------------If Right Mouse Button Must Be Pressed
			1.000000;//condition parameter0
			0.000000;//condition parameter1
	end_wield_conditions;
	begin_fire_effects;
		1;//effect number-----------------------Slow Down Player
			200.000000;//parameter1
			-1.000000;//parameter2
			0.650000;//parameter3
			0.000000;//parameter4
		16;//effect number-----------------------Remove Red Light Stick
			85.000000;//parameter1
			-1.000000;//parameter2
			0.000000;//parameter3
			0.000000;//parameter4
		10;//effect number-----------------------Fire Creature [Red Light Stick]
			18.000000;//parameter1
			2.00000;//parameter2
			-1.000000;//parameter3
			-1.000000;//parameter4
		63;//effect number-----------------------Tire Player
			-10.000000;//parameter1
			-5.00000;//parameter2
			3.000000;//parameter3
			1.000000;//parameter4
	end_fire_effects;
	begin_hit_effects;
	end_hit_effects; 
Blue Light Stick;//name---------------------------------------
	26;//identifier
	7;//class
	qbeaconbullet.png;//bullet texture
	1;//bullets at one shot
	0;//stop at hit 0=stop where hit, 1=don't stop
	0.000000;//bullet size
	0.000000;//spread
	1.000000;//bullet speed
	1.000000;//time until bullet disappears
	1000;//fire rate
	0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
	-1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
	-1;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
	none;//hit effect sound
	0.000000;//push target back
	0.000000;//push shooter back
	none;//fire sound
	none;//hit sound
	0.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
	begin_wield_conditions;
		0;//condition-----------------------Must Have Blue LightStick
			86.000000;//condition parameter0
			1.000000;//condition parameter1
		3;//condition-----------------------Must Be Ready To Throw
			28.000000;//condition parameter0
			1.000000;//condition parameter1
		37;//condition-----------------------If Right Mouse Button Must Be Pressed
			1.000000;//condition parameter0
			0.000000;//condition parameter1
	end_wield_conditions;
	begin_fire_effects;
		1;//effect number-----------------------Slow Down Player
			200.000000;//parameter1
			-1.000000;//parameter2
			0.650000;//parameter3
			0.000000;//parameter4
		16;//effect number-----------------------Remove Blue Light Stick
			86.000000;//parameter1
			-1.000000;//parameter2
			0.000000;//parameter3
			0.000000;//parameter4
		10;//effect number-----------------------Fire Creature [Blue Light Stick]
			20.000000;//parameter1
			2.00000;//parameter2
			-1.000000;//parameter3
			-1.000000;//parameter4
		63;//effect number-----------------------Tire Player
			-10.000000;//parameter1
			-5.00000;//parameter2
			3.000000;//parameter3
			1.000000;//parameter4
	end_fire_effects;
	begin_hit_effects;
	end_hit_effects; 
Crusher claws (Large);//name---------------------------------------
  27;//identifier
  44;//class
  bullet0.png;//bullet texture
  3;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  1.000000;//bullet size
  0.800000;//spread
  1.000000;//bullet speed
  80.000000;//time until bullet disappears
  500;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  0;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  -2.800000;//push target back
  5.500000;//push shooter back
shriekattack.wav;//fire sound
  knife.wav;//hit sound
  0.500000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
    	 1;//effect number-----------------------Slow Down Creature
      800.000000;//parameter1
      -1.000000;//parameter2
      0.400000;//parameter3
      0.000000;//parameter4
  end_fire_effects;
  begin_hit_effects;
    63;//effect number------------------------------Damage NPCs[23-47]
      -23.000000;//parameter1
      -47.00000;//parameter2
      0.000000;//parameter3
      1.000000;//parameter4
    63;//effect number------------------------------Damage Brute[23-47]
      -23.000000;//parameter1
      -47.00000;//parameter2
      8.000000;//parameter3
      1.000000;//parameter4
    63;//effect number------------------------------Damage Conciousness[23-47]
      13.000000;//parameter1
      27.00000;//parameter2
      20.000000;//parameter3
      1.000000;//parameter4
    63;//effect number------------------------------Damage Critical[73-127]
      -73.000000;//parameter1
      -127.00000;//parameter2
      11.000000;//parameter3
      1.000000;//parameter4
	 29;//effect number-----------------------Run "Bleed Chance - Moderate" Script
      21.000000;//parameter1
      1.000000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter4
	 1;//effect number-----------------------Slow Down Creature
      4000.000000;//parameter1
      -1.000000;//parameter2
      0.500000;//parameter3
      0.000000;//parameter4
  4;//effect number-----------------------Blood Particles
      -20.000000;//parameter1
      1.00000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter4
  end_hit_effects;
Fuel Tank Flame Burst(TIMER);//name---------------------------------------
  28;//identifier
  41;//class
  bullet0.png;//bullet texture
  0;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  6.283185;//spread
  2.000000;//bullet speed
  45.000000;//time until bullet disappears
  100;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  -1;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  fire.wav;//hit effect sound
  1.000000;//push target back
  0.000000;//push shooter back
  none;//fire sound
  none;//hit sound
  1.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
41;//effect number----------------------Bug Workaround
      103.000000;//parameter1
      25.000000;//parameter2
     1.000000;//parameter3
      0.000000;//parameter4
27;//effect number-----------------------Make Blast Light
      5.000000;//parameter1
      250.000000;//parameter2
      10.000000;//parameter3
      10.000000;//parameter4
27;//effect number-----------------------Make Light
      2.000000;//parameter1
      3000.000000;//parameter2
      1.000000;//parameter3
      1.000000;//parameter4
 10;//effect number-------------------Drop Moving Fire
      26.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter
 10;//effect number-------------------Drop Moving Fire
      26.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter
 10;//effect number-------------------Drop Moving Fire
      26.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter
 10;//effect number-------------------Drop Moving Fire
      26.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter
 10;//effect number-------------------Drop Moving Fire
      26.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter
 10;//effect number-------------------Drop Moving Fire
      26.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter
 10;//effect number-------------------Drop Moving Fire
      26.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter
 10;//effect number-------------------Drop Moving Fire
      26.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter
  10;//effect number-------------------Drop Fire
      28.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter
 10;//effect number-------------------Drop Fire
      27.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter
 10;//effect number-------------------Drop Fire
      27.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter
 10;//effect number-------------------Drop Fire
      27.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter
36;//effect number-------------------Shake Screen
      35.000000;//parameter1
      500.00000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter
14;//effect number-------------------Play Wall Smash Sound
      13.000000;//parameter1
      20.000000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter
  end_fire_effects;
  begin_hit_effects;
  end_hit_effects;
Fuel Tank Bomb (Timer/Igniter);//name---------------------------------------
  29;//identifier
  8;//class
  qbeaconbullet.png;//bullet texture
  1;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  0.000000;//spread
  1.000000;//bullet speed
  1.000000;//time until bullet disappears
  1000;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  -1;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.000000;//push target back
  0.000000;//push shooter back
none;//fire sound
  none;//hit sound
  0.500000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
     0;//condition
      103.000000;//condition parameter0
      1.000000;//condition parameter1
  end_wield_conditions;
  begin_fire_effects;
1;//effect number-----------------------Slow Down Player
      200.000000;//parameter1
      -1.000000;//parameter2
      0.450000;//parameter3
      0.000000;//parameter4
16;//effect number-----------------------Remove Fuel Bomb (Timer/Igniter)
      103.000000;//parameter1
      -1.000000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter4
  10;//effect number-----------------------Fire Creature [Fuel Bomb (Timer/Igniter)]
      24.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter4
 63;//effect number-----------------------Tire Player
      -20.000000;//parameter1
      -10.00000;//parameter2
      3.000000;//parameter3
      1.000000;//parameter4
  end_fire_effects;
  begin_hit_effects;
  end_hit_effects; 
Fuel Tank Flame Bursts;//name---------------------------------------
  30;//identifier
  41;//class
  bullet0.png;//bullet texture
  5;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  6.283185;//spread
  2.000000;//bullet speed
  65.000000;//time until bullet disappears
  100;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  -1;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  fire.wav;//hit effect sound
  1.000000;//push target back
  0.000000;//push shooter back
  none;//fire sound
  none;//hit sound
  1.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
  end_fire_effects;
  begin_hit_effects;
      53;//effect number------------------------------Damage NPCs[10]
      -2.00000;//parameter1
      30.00000;//parameter2
      0.000000;//parameter3
      5000.000000;//parameter4
     63;//effect number-----------------------Damage NPCs [15-25]
      -5.000000;//parameter1
      -25.00000;//parameter2
      0.000000;//parameter3
      1.000000;//parameter4
    63;//effect number-----------------------Damage Brute [5-25]
      -5.000000;//parameter1
      -25.00000;//parameter2
      8.000000;//parameter3
      1.000000;//parameter4
      53;//effect number------------------------------Damage Burn[10]
      -2.000000;//parameter1
      30.00000;//parameter2
      7.000000;//parameter3
      5000.000000;//parameter4
1;//effect number-----------------------Slow Down Player
      3200.000000;//parameter1
      -1.000000;//parameter2
      0.450000;//parameter3
      0.000000;//parameter4
    63;//effect number-----------------------Damage Consciousness [15-25]
      15.000000;//parameter1
      25.00000;//parameter2
      20.000000;//parameter3
      1.000000;//parameter4
    63;//effect number-----------------------Add Knock-Out Effect [55-145]
      55.000000;//parameter1
      145.00000;//parameter2
      32.000000;//parameter3
      1.000000;//parameter4
  end_hit_effects;
Fuel Tank Bomb (RSD/Igniter);//name---------------------------------------
  31;//identifier
  8;//class
  qbeaconbullet.png;//bullet texture
  1;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  0.000000;//spread
  1.000000;//bullet speed
  1.000000;//time until bullet disappears
  1000;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  -1;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.000000;//push target back
  0.000000;//push shooter back
none;//fire sound
  none;//hit sound
  0.500000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
     0;//condition-----------------------Must Have Fuel Bomb (RSD/Igniter)
      105.000000;//condition parameter0
      1.000000;//condition parameter1
  end_wield_conditions;
  begin_fire_effects;
1;//effect number-----------------------Slow Down Player
      200.000000;//parameter1
      -1.000000;//parameter2
      0.450000;//parameter3
      0.000000;//parameter4
16;//effect number-----------------------Remove Fuel Bomb (RSD/Igniter)
      105.000000;//parameter1
      -1.000000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter4
  10;//effect number-----------------------Fire Creature [Fuel Bomb (RSD/Igniter)]
      29.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter4
 63;//effect number-----------------------Tire Player
      -20.000000;//parameter1
      -10.00000;//parameter2
      3.000000;//parameter3
      1.000000;//parameter4
  end_fire_effects;
  begin_hit_effects;
  end_hit_effects; 
Remote Signalling Device;//name---------------------------------------
  32;//identifier
  0;//class
  qbeaconbullet.png;//bullet texture
  0;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  0.000000;//spread
  1.000000;//bullet speed
  1.000000;//time until bullet disappears
  1000;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  -1;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.000000;//push target back
  0.000000;//push shooter back
beep.wav;//fire sound
  none;//hit sound
  0.500000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
  end_fire_effects;
  begin_hit_effects;
  end_hit_effects; 
Fuel Tank Flame Burst(RTS);//name---------------------------------------
  33;//identifier
 41;//class
  bullet0.png;//bullet texture
  0;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  6.283185;//spread
  2.000000;//bullet speed
  45.000000;//time until bullet disappears
  100;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  -1;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  fire.wav;//hit effect sound
  1.000000;//push target back
  0.000000;//push shooter back
  none;//fire sound
  none;//hit sound
  1.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
41;//effect number----------------------Bug Workaround
      105.000000;//parameter1
      25.000000;//parameter2
     1.000000;//parameter3
      0.000000;//parameter4
27;//effect number-----------------------Make Blast Light
      5.000000;//parameter1
      250.000000;//parameter2
      10.000000;//parameter3
      10.000000;//parameter4
27;//effect number-----------------------Make Light
      2.000000;//parameter1
      3000.000000;//parameter2
      1.000000;//parameter3
      1.000000;//parameter4
 10;//effect number-------------------Drop Moving Fire
      26.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter
 10;//effect number-------------------Drop Moving Fire
      26.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter
 10;//effect number-------------------Drop Moving Fire
      26.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter
 10;//effect number-------------------Drop Moving Fire
      26.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter
 10;//effect number-------------------Drop Moving Fire
      26.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter
 10;//effect number-------------------Drop Moving Fire
      26.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter
 10;//effect number-------------------Drop Moving Fire
      26.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter
 10;//effect number-------------------Drop Moving Fire
      26.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter
  10;//effect number-------------------Drop Fire
      28.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter
 10;//effect number-------------------Drop Fire
      27.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter
 10;//effect number-------------------Drop Fire
      27.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter
 10;//effect number-------------------Drop Fire
      27.000000;//parameter1
      3.00000;//parameter2
      -1.000000;//parameter3
      -1.000000;//parameter
36;//effect number-------------------Shake Screen
      35.000000;//parameter1
      500.00000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter
14;//effect number-------------------Play Wall Smash Sound
      13.000000;//parameter1
      20.000000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter
  end_fire_effects;
  begin_hit_effects;
  end_hit_effects;
Taser Gun;//name--------------------------------------- PRE-CHECK!
  34;//identifier
  2;//class
  bullet0.png;//bullet texture
  0;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  0.000000;//spread
  0.000000;//bullet speed
  0.000000;//time until bullet disappears
  800;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  0;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.000000;//push target back
  0.000000;//push shooter back
  none;//fire sound
  none;//hit sound
  0.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
65;//effect number----------------------Fire Taser
      35.000000;//parameter1
      1.000000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter4
  end_fire_effects;
  begin_hit_effects;
  end_hit_effects;
Taser Bolt;//name---------------------------------------
  35;//identifier
  40;//class
    qlifeessence.png;//bullet texture
  1;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  4.000000;//bullet size
  0.030000;//spread
  2.000000;//bullet speed
  175.000000;//time until bullet disappears
  800;//fire rate
  2;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  0;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.250000;//push target back
  0.000000;//push shooter back
  laser1.wav;//fire sound
  laser2.wav;//hit sound
  1.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
     3;//condition
      34.000000;//condition parameter0
      1.000000;//condition parameter1
  end_wield_conditions;
  begin_fire_effects;
27;//effect number-----------------------Make Light
      5.000000;//parameter1
      100.000000;//parameter2
      0.100000;//parameter3
      0.100000;//parameter4
    4;//effect number-----------------------Remove Energy
      -10.000000;//parameter1
      1.00000;//parameter2
      34.000000;//parameter3
      0.000000;//parameter4
	33;//effect number-----------------------Stagger Mouse
      2.000000;//parameter1
      3.000000;//parameter2
      100.000000;//parameter3
      0.000000;//parameter4
  end_fire_effects;
  begin_hit_effects;
    63;//effect number-----------------------Add Stun Effect [55 - 125]
      55.000000;//parameter1
      125.00000;//parameter2
      31.000000;//parameter3
      1.000000;//parameter4
